file,true_count,predicted_count_raw,predicted_count_0.15s,diff_raw,diff_0.15s
steth_20180901_09_54_08,8,65,8,57,0
steth_20180921_15_12_58,8,75,12,67,4
steth_20181210_08_53_33,9,143,9,134,0
steth_20181210_08_53_52,8,100,9,92,1
steth_20181210_08_54_10,8,100,9,92,1
steth_20190128_12_21_53,10,115,7,105,-3
steth_20190131_11_28_35,10,136,13,126,3
steth_20190618_15_19_21,13,101,5,88,-8
steth_20190716_12_13_35,9,193,16,184,7
steth_20190716_12_15_24,8,111,12,103,4
trunc_2019-07-16-10-41-27-L1_10,8,81,9,73,1
trunc_2019-07-16-10-41-27-L5_11,9,64,9,55,0
trunc_2019-07-16-10-41-27-L8_11,8,184,14,176,6
trunc_2019-07-16-11-11-47-L2_12,8,87,14,79,6
trunc_2019-07-16-11-11-47-L2_8,9,61,9,52,0
trunc_2019-07-16-11-46-52-L1_12,10,93,12,83,2
trunc_2019-07-16-11-46-52-L1_14,16,103,10,87,-6
trunc_2019-07-16-11-46-52-L1_2,10,43,10,33,0
trunc_2019-07-16-11-46-52-L1_4,9,105,8,96,-1
trunc_2019-07-16-11-46-52-L2_0,8,78,9,70,1
trunc_2019-07-16-11-46-52-L4_8,8,87,9,79,1
trunc_2019-07-16-11-46-52-L6_2,11,55,8,44,-3
