frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
0;0.000000;3;2.126282e+02;1.055676e+02;5.126869e+01;9.187087e-01;8.645182e-01;0;3.340695e-02;2.004471e-02;2.242848e-04;-9.259329e+00
1;0.010000;2;1.174565e+02;8.161424e+01;0;9.302839e-01;4.590805e-01;0;6.396721e-02;8.244374e-03;0;-8.694253e+00
2;0.020000;3;1.528021e+02;1.055467e+02;7.218586e+01;8.804330e-01;7.691993e-01;6.112123e-01;3.062184e-02;1.586373e-02;9.417378e-03;-9.370586e+00
3;0.030000;3;1.819586e+02;1.271258e+02;8.711320e+01;9.075207e-01;8.807019e-01;8.450917e-01;3.889120e-02;3.014826e-02;2.321779e-02;-9.245550e+00
4;0.040000;2;9.736794e+01;6.581301e+01;0;8.829911e-01;6.595637e-01;0;4.881267e-02;1.677704e-02;0;-8.541055e+00
5;0.050000;3;1.339784e+02;9.078485e+01;5.964749e+01;9.048407e-01;7.843990e-01;0;3.737423e-02;1.649577e-02;1.810282e-03;-9.116467e+00
6;0.060000;3;1.484776e+02;1.037982e+02;6.722476e+01;9.309006e-01;7.218019e-01;0;5.902999e-02;1.466199e-02;2.892420e-03;-8.496025e+00
7;0.070000;2;1.442413e+02;8.681722e+01;0;9.030528e-01;7.774186e-01;0;5.610045e-02;2.443503e-02;0;-8.456018e+00
8;0.080000;3;1.400101e+02;8.681761e+01;5.815166e+01;8.840747e-01;8.522032e-01;5.228033e-01;4.175214e-02;3.274856e-02;1.014284e-02;-8.858766e+00
9;0.090000;3;1.010806e+02;8.257120e+01;6.714687e+01;8.994978e-01;6.047906e-01;5.108144e-01;3.496766e-02;8.892315e-03;7.184036e-03;-9.178204e+00
10;0.100000;3;3.593132e+02;2.432979e+02;1.214962e+02;8.690187e-01;8.657205e-01;8.517882e-01;3.515046e-02;3.428708e-02;3.106400e-02;-8.733057e+00
11;0.110000;1;1.007607e+02;0;0;9.274240e-01;0;0;3.260424e-02;0;0;-9.530449e+00
12;0.120000;3;5.186837e+02;3.467371e+02;1.898998e+02;8.725738e-01;8.644501e-01;8.373739e-01;2.889350e-02;2.716187e-02;2.263959e-02;-8.813152e+00
13;0.130000;2;1.013477e+02;6.826026e+01;0;8.723956e-01;5.348514e-01;0;4.552864e-02;1.248988e-02;0;-8.496800e+00
14;0.140000;3;1.951968e+02;1.002883e+02;9.061381e+01;9.054267e-01;8.028061e-01;6.376413e-01;4.329906e-02;2.076604e-02;1.130078e-02;-8.768373e+00
15;0.150000;2;1.011007e+02;6.710132e+01;0;9.209386e-01;6.200473e-01;0;5.955742e-02;1.239284e-02;0;-8.651189e+00
16;0.160000;3;1.189533e+02;8.439194e+01;5.585051e+01;9.213629e-01;5.505022e-01;0;4.525576e-02;7.917237e-03;1.878847e-03;-9.095132e+00
17;0.170000;3;9.320486e+01;7.439989e+01;6.371494e+01;8.670979e-01;6.828403e-01;4.068249e-01;1.168834e-02;4.897866e-03;2.618799e-03;-9.953731e+00
18;0.180000;2;1.243993e+02;1.007031e+02;0;8.905917e-01;6.521760e-01;0;3.251420e-02;1.022737e-02;0;-8.947843e+00
19;0.190000;3;4.272775e+02;1.486055e+02;1.054819e+02;8.995482e-01;8.885053e-01;8.254007e-01;3.815778e-02;3.437850e-02;2.195323e-02;-8.822245e+00
